arrow	8619314d4974dbb571ec9d30	module	arrow	modules/arrow.json	modules/arrow.md#op-8619314d4974dbb571ec9d30	mod arrow
arrow::ARROW_VERSION	3b8b153f3fbf03c0b14fbb13	constant	arrow	operations/arrow.ARROW_VERSION.json	operations/arrow.ARROW_VERSION.md#op-3b8b153f3fbf03c0b14fbb13	const ARROW_VERSION: &str = "59.3.0"
arrow::array	ee4b6c90f87a662e8f1e02b3	module	arrow	modules/arrow.array.json	modules/arrow.array.md#op-ee4b6c90f87a662e8f1e02b3	mod array
arrow::compute	8d4f889defd695def0b7582b	module	arrow	modules/arrow.compute.json	modules/arrow.compute.md#op-8d4f889defd695def0b7582b	mod compute
arrow::compute::kernels	668a556a58d54e51fdecce7f	module	arrow	modules/arrow.compute.kernels.json	modules/arrow.compute.kernels.md#op-668a556a58d54e51fdecce7f	mod kernels
arrow::compute::kernels::comparison	f81830b6ac387d655f66a7f2	module	arrow	modules/arrow.compute.kernels.comparison.json	modules/arrow.compute.kernels.comparison.md#op-f81830b6ac387d655f66a7f2	mod comparison
arrow::datatypes	b0147cc510d5da0659809a26	module	arrow	modules/arrow.datatypes.json	modules/arrow.datatypes.md#op-b0147cc510d5da0659809a26	mod datatypes
arrow::error	f3815416df4ee879f33bf38a	module	arrow	modules/arrow.error.json	modules/arrow.error.md#op-f3815416df4ee879f33bf38a	mod error
arrow::error::Result	42f3348a5b24abb9052e34da	type_alias	arrow	operations/arrow.error.Result.json	operations/arrow.error.Result.md#op-42f3348a5b24abb9052e34da	type Result<T> = std::result::Result<T, ArrowError>
arrow::record_batch	6c11c11c94db2b6bc4ab20ed	module	arrow	modules/arrow.record_batch.json	modules/arrow.record_batch.md#op-6c11c11c94db2b6bc4ab20ed	mod record_batch
arrow::tensor	c66295d39d536a34f8139ae9	module	arrow	modules/arrow.tensor.json	modules/arrow.tensor.md#op-c66295d39d536a34f8139ae9	mod tensor
