arrow	async	arrow-array/async	-
arrow	canonical_extension_types	arrow-schema/canonical_extension_types	-
arrow	chrono-tz	arrow-array/chrono-tz	-
arrow	csv	arrow-csv	default
arrow	default	csv,ipc,json	-
arrow	ffi	arrow-array/ffi,arrow-data/ffi,arrow-schema/ffi	-
arrow	force_validate	arrow-array/force_validate,arrow-data/force_validate	-
arrow	ipc	arrow-ipc	default
arrow	ipc_compression	arrow-ipc/lz4,arrow-ipc/zstd,ipc	-
arrow	json	arrow-json	default
arrow	pool	arrow-array/pool	-
arrow	prettyprint	arrow-cast/prettyprint	-
arrow	pyarrow	dep:arrow-pyarrow,ffi	-
arrow	test_utils	dep:half,dep:rand	-
arrow-array	async	dep:futures	-
arrow-array	ffi	arrow-data/ffi,arrow-schema/ffi,dep:libc	-
arrow-array	force_validate	-	-
arrow-array	pool	arrow-buffer/pool,arrow-data/pool	-
arrow-avro	async	futures,tokio	-
arrow-avro	avro_custom_types	dep:arrow-select	-
arrow-avro	canonical_extension_types	arrow-schema/canonical_extension_types	-
arrow-avro	default	bzip2,deflate,snappy,xz,zstd	-
arrow-avro	deflate	flate2	default
arrow-avro	md5	dep:md5	-
arrow-avro	object_store	async,dep:object_store	-
arrow-avro	sha256	dep:sha2	-
arrow-avro	small_decimals	-	-
arrow-avro	snappy	crc,snap	default
arrow-buffer	pool	-	-
arrow-cast	force_validate	-	-
arrow-cast	prettyprint	comfy-table	-
arrow-data	ffi	arrow-schema/ffi	-
arrow-data	force_validate	-	-
arrow-data	pool	arrow-buffer/pool	-
arrow-flight	cli	arrow-array/chrono-tz,arrow-cast/prettyprint,dep:anyhow,dep:clap,dep:tokio,dep:tracing-log,dep:tracing-subscriber,tonic/deflate,tonic/gzip,tonic/tls-webpki-roots,tonic/zstd	-
arrow-flight	default	-	-
arrow-flight	flight-sql	dep:arrow-arith,dep:arrow-ord,dep:arrow-row,dep:arrow-select,dep:arrow-string,dep:once_cell	-
arrow-flight	flight-sql-experimental	flight-sql	-
arrow-flight	tls-aws-lc	tonic/tls-aws-lc	-
arrow-flight	tls-native-roots	tonic/tls-native-roots	-
arrow-flight	tls-ring	tonic/tls-ring	-
arrow-flight	tls-webpki-roots	tonic/tls-webpki-roots	-
arrow-ipc	default	-	-
arrow-ipc	lz4	lz4_flex	-
arrow-schema	canonical_extension_types	dep:serde_core,dep:serde_json	-
arrow-schema	ffi	bitflags	-
arrow-schema	serde	dep:serde,dep:serde_core	-
datafusion	array_expressions	nested_expressions	-
datafusion	avro	datafusion-datasource-avro	-
datafusion	backtrace	datafusion-common/backtrace	-
datafusion	compression	bzip2,datafusion-datasource-arrow/compression,datafusion-datasource/compression,flate2,liblzma,zstd	default
datafusion	crypto_expressions	datafusion-functions/crypto_expressions	default
datafusion	datetime_expressions	datafusion-functions/datetime_expressions	default
datafusion	default	compression,crypto_expressions,datetime_expressions,encoding_expressions,nested_expressions,parquet,recursive_protection,regex_expressions,sql,string_expressions,unicode_expressions	-
datafusion	encoding_expressions	datafusion-functions/encoding_expressions	default
datafusion	extended_tests	-	-
datafusion	force_hash_collisions	datafusion-common/force_hash_collisions,datafusion-physical-plan/force_hash_collisions	-
datafusion	math_expressions	datafusion-functions/math_expressions	-
datafusion	nested_expressions	datafusion-functions-nested	default
datafusion	parquet	datafusion-common/parquet,datafusion-datasource-parquet,dep:parquet	default
datafusion	parquet_encryption	datafusion-common/parquet_encryption,datafusion-datasource-parquet/parquet_encryption,parquet,parquet/encryption	-
