arrow_array::arithmetic::ArrowNativeTypeOp	neg_wrapping	-	fn neg_wrapping(self) -> Self	Wrapping negation operation
arrow_array::arithmetic::ArrowNativeTypeOp	pow_checked	-	fn pow_checked(self, exp: u32) -> Result<Self, ArrowError>	Checked exponentiation operation
arrow_array::arithmetic::ArrowNativeTypeOp	pow_wrapping	-	fn pow_wrapping(self, exp: u32) -> Self	Wrapping exponentiation operation
arrow_array::arithmetic::ArrowNativeTypeOp	sub_checked	-	fn sub_checked(self, rhs: Self) -> Result<Self, ArrowError>	Checked subtraction operation
arrow_array::arithmetic::ArrowNativeTypeOp	sub_wrapping	-	fn sub_wrapping(self, rhs: Self) -> Self	Wrapping subtraction operation
arrow_array::array::Array	as_any	-	fn as_any(&self) -> &dyn Any	Returns the array as [`Any`] so that it can be downcasted to a specific implementation.
arrow_array::array::Array	claim	-	fn claim(&self, pool: &dyn arrow_buffer::MemoryPool)	Claim memory used by this array in the provided memory pool.
arrow_array::array::Array	data_type	-	fn data_type(&self) -> &DataType	Returns a reference to the [`DataType`] of this array.
arrow_array::array::Array	get_array_memory_size	-	fn get_array_memory_size(&self) -> usize	Returns the total number of bytes of memory occupied physically by this array. This value will always be greater than returned by `get_buffer_memory_size()` and includes the overhead of the data structures that contain the pointers to the…
arrow_array::array::Array	get_buffer_memory_size	-	fn get_buffer_memory_size(&self) -> usize	Returns the total number of bytes of memory pointed to by this array. The buffers store bytes in the Arrow memory format, and include the data as well as the validity map. Note that this does not always correspond to the exact memory usage…
arrow_array::array::Array	into_data	-	fn into_data(self) -> ArrayData	Returns the underlying data of this array
arrow_array::array::Array	is_empty	-	fn is_empty(&self) -> bool	Returns whether this array is empty.
arrow_array::array::Array	is_null	-	fn is_null(&self, index: usize) -> bool	Returns whether the element at `index` is null according to [`Array::nulls`]
arrow_array::array::Array	is_nullable	-	fn is_nullable(&self) -> bool	Returns `false` if the array is guaranteed to not contain any logical nulls
arrow_array::array::Array	is_valid	-	fn is_valid(&self, index: usize) -> bool	Returns whether the element at `index` is *not* null, the opposite of [`Self::is_null`].
arrow_array::array::Array	len	-	fn len(&self) -> usize	Returns the length (i.e., number of elements) of this array.
arrow_array::array::Array	logical_null_count	-	fn logical_null_count(&self) -> usize	Returns the total number of logical null values in this array.
arrow_array::array::Array	logical_nulls	-	fn logical_nulls(&self) -> Option<NullBuffer>	Returns a potentially computed [`NullBuffer`] that represents the logical null values of this array, if any.
arrow_array::array::Array	null_count	-	fn null_count(&self) -> usize	Returns the total number of physical null values in this array.
arrow_array::array::Array	nulls	-	fn nulls(&self) -> Option<&NullBuffer>	Returns the null buffer of this array if any.
arrow_array::array::Array	offset	-	fn offset(&self) -> usize	Returns the offset into the underlying data used by this array(-slice). Note that the underlying data can be shared by many arrays. This defaults to `0`.
arrow_array::array::Array	shrink_to_fit	-	fn shrink_to_fit(&mut self)	Shrinks the capacity of any exclusively owned buffer as much as possible
arrow_array::array::Array	slice	-	fn slice(&self, offset: usize, length: usize) -> ArrayRef	Returns a zero-copy slice of this array with the indicated offset and length.
arrow_array::array::Array	to_data	-	fn to_data(&self) -> ArrayData	Returns the underlying data of this array
arrow_array::array::ArrayAccessor	value	-	fn value(&self, index: usize) -> Self::Item	Returns the element at index `i` # Panics Panics if the value is outside the bounds of the array
arrow_array::array::ArrayAccessor	value_unchecked	-	unsafe fn value_unchecked(&self, index: usize) -> Self::Item	Returns the element at index `i` # Safety Caller is responsible for ensuring that the index is within the bounds of the array
arrow_array::array::ArrayRef	as_any	arrow_array::array::Array	fn as_any(&self) -> &dyn Any	
arrow_array::array::ArrayRef	as_any_dictionary_opt	arrow_array::cast::AsArray	fn as_any_dictionary_opt(&self) -> Option<&dyn AnyDictionaryArray>	
arrow_array::array::ArrayRef	as_any_ree_opt	arrow_array::cast::AsArray	fn as_any_ree_opt(&self) -> Option<&dyn AnyRunEndArray>	
arrow_array::array::ArrayRef	as_boolean_opt	arrow_array::cast::AsArray	fn as_boolean_opt(&self) -> Option<&BooleanArray>	
arrow_array::array::ArrayRef	as_byte_view_opt	arrow_array::cast::AsArray	fn as_byte_view_opt<T: ByteViewType>(&self) -> Option<&GenericByteViewArray<T>>	
arrow_array::array::ArrayRef	as_bytes_opt	arrow_array::cast::AsArray	fn as_bytes_opt<T: ByteArrayType>(&self) -> Option<&GenericByteArray<T>>	
