deltalake_core::delta_datafusion::table_provider::next::SnapshotWrapper	enum	deltalake-core	8
deltalake_core::delta_datafusion::utils::Expression	enum	deltalake-core	5
deltalake_core::kernel::transaction::protocol::ProtocolChecker	struct	deltalake-core	11
deltalake_core::logstore::storage::CertificateConfig	struct	deltalake-core	6
deltalake_core::logstore::storage::LimitConfig	struct	deltalake-core	6
deltalake_core::logstore::storage::runtime::RuntimeConfig	struct	deltalake-core	8
deltalake_core::operations::load::LoadBuilder	struct	deltalake-core	7
deltalake_mount::file::LocalFileSystemError	enum	deltalake-mount	3
