buoyant_kernel	arrow	arrow-59	-
buoyant_kernel	arrow-58	dep:arrow_58,dep:object_store_13,dep:parquet_58	-
buoyant_kernel	arrow-59	dep:arrow_59,dep:object_store_13,dep:parquet_59	-
buoyant_kernel	arrow-conversion	need-arrow	-
buoyant_kernel	arrow-expression	need-arrow	-
buoyant_kernel	column-defaults-in-dev	-	-
buoyant_kernel	declarative-plans	dep:prost,dep:prost-build,dep:protoc-bin-vendored,internal-api	-
buoyant_kernel	default	-	-
buoyant_kernel	default-engine-base	arrow-conversion,arrow-expression,need-arrow,reqwest	-
buoyant_kernel	integration-test	hdfs-native-object-store/integration-test	-
buoyant_kernel	internal-api	-	-
buoyant_kernel	nanosecond-timestamps	test_utils/nanosecond-timestamps	-
buoyant_kernel	need-arrow	-	-
buoyant_kernel	prettyprint	arrow_58?/prettyprint,arrow_59?/prettyprint	-
buoyant_kernel	schema-diff	-	-
buoyant_kernel	test-utils	prettyprint	-
buoyant_kernel_engine	arrow	arrow-59	default
buoyant_kernel_engine	arrow-58	delta_kernel/arrow-58	-
buoyant_kernel_engine	arrow-59	delta_kernel/arrow-59	-
buoyant_kernel_engine	default	arrow,rustls	-
buoyant_kernel_engine	nanosecond-timestamps	delta_kernel/nanosecond-timestamps	-
buoyant_kernel_engine	native-tls	reqwest/native-tls	-
buoyant_kernel_engine	rustls	reqwest/rustls	default
deltalake	azure	deltalake-azure	-
deltalake	datafusion	deltalake-core/datafusion	-
deltalake	datafusion-ext	datafusion	-
deltalake	default	rustls	-
deltalake	gcs	deltalake-gcp	-
deltalake	glue	deltalake-catalog-glue	-
deltalake	hdfs	deltalake-hdfs	-
deltalake	json	deltalake-core/json	-
deltalake	lakefs	deltalake-lakefs	-
deltalake	nanosecond-timestamps	deltalake-core/nanosecond-timestamps	-
deltalake	native-tls	deltalake-core/native-tls	-
deltalake	opendal	deltalake-opendal	-
deltalake	opendal-azblob	deltalake-opendal/opendal-azblob,deltalake-opendal/rustls,opendal	-
deltalake	opendal-azdls	deltalake-opendal/opendal-azdls,deltalake-opendal/rustls,opendal	-
deltalake	opendal-b2	deltalake-opendal/opendal-b2,deltalake-opendal/rustls,opendal	-
deltalake	opendal-cos	deltalake-opendal/opendal-cos,deltalake-opendal/rustls,opendal	-
deltalake	opendal-fs	deltalake-opendal/opendal-fs,opendal	-
deltalake	opendal-ftp	deltalake-opendal/opendal-ftp,opendal	-
deltalake	opendal-gcs	deltalake-opendal/opendal-gcs,deltalake-opendal/rustls,opendal	-
deltalake	opendal-hf	deltalake-opendal/opendal-hf,deltalake-opendal/rustls,opendal	-
deltalake	opendal-memory	deltalake-opendal/opendal-memory,opendal	-
deltalake	opendal-obs	deltalake-opendal/opendal-obs,deltalake-opendal/rustls,opendal	-
deltalake	opendal-oss	deltalake-opendal/opendal-oss,deltalake-opendal/rustls,opendal	-
deltalake	opendal-s3	deltalake-opendal/opendal-s3,deltalake-opendal/rustls,opendal	-
deltalake	opendal-sftp	deltalake-opendal/opendal-sftp,opendal	-
deltalake	opendal-swift	deltalake-opendal/opendal-swift,deltalake-opendal/rustls,opendal	-
deltalake	opendal-tos	deltalake-opendal/opendal-tos,deltalake-opendal/rustls,opendal	-
deltalake	opendal-webdav	deltalake-opendal/opendal-webdav,deltalake-opendal/rustls,opendal	-
deltalake	opendal-webhdfs	deltalake-opendal/opendal-webhdfs,deltalake-opendal/rustls,opendal	-
deltalake	python	deltalake-core/python	-
deltalake	rustls	deltalake-core/rustls	default
deltalake	s3	deltalake-aws/rustls,rustls	-
deltalake	s3-native-tls	deltalake-aws/native-tls,native-tls	-
deltalake	unity-experimental	deltalake-catalog-unity	-
deltalake-aws	default	rustls	-
deltalake-aws	integration_test	-	-
