buoyant_kernel::actions::MAX_VALUES	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	Per-column upper bounds, as a nested struct mirroring the table schema.
buoyant_kernel::actions::METADATA_NAME	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	
buoyant_kernel::actions::MIN_VALUES	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	Per-column lower bounds, as a nested struct mirroring the table schema.
buoyant_kernel::actions::Metadata	struct	buoyant_kernel	api/buoyant_kernel.actions.md	5	20	
buoyant_kernel::actions::NULL_COUNT	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	Per-column null counts, as a nested struct mirroring the table schema.
buoyant_kernel::actions::NUM_RECORDS	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	Logical (post-DV) row count, stored as a `long`.
buoyant_kernel::actions::PROTOCOL_NAME	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	
buoyant_kernel::actions::Protocol	struct	buoyant_kernel	api/buoyant_kernel.actions.md	5	12	
buoyant_kernel::actions::REMOVE_NAME	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	
buoyant_kernel::actions::Remove	struct	buoyant_kernel	api/buoyant_kernel.actions.md	1	4	
buoyant_kernel::actions::SET_TRANSACTION_NAME	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	
buoyant_kernel::actions::SIDECAR_NAME	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	
buoyant_kernel::actions::STATS_PARSED	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	Struct-encoded per-file statistics column (checkpoints with `writeStatsAsStruct=true`).
buoyant_kernel::actions::SetTransaction	struct	buoyant_kernel	api/buoyant_kernel.actions.md	1	7	
buoyant_kernel::actions::Sidecar	struct	buoyant_kernel	api/buoyant_kernel.actions.md	1	6	The sidecar action references a sidecar file which provides some of the checkpoint's file actions. This action is only allowed in checkpoints following the V2 spec.
buoyant_kernel::actions::TIGHT_BOUNDS	constant	buoyant_kernel	api/buoyant_kernel.actions.md	1	0	Whether the min/max/nullCount stats are tight or wide. Defaults to `true` when absent.
buoyant_kernel::actions::deletion_vector::DeletionVectorDescriptor	struct	buoyant_kernel	api/buoyant_kernel.actions.deletion_vector.md	1	9	
buoyant_kernel::actions::deletion_vector::DeletionVectorPath	struct	buoyant_kernel	api/buoyant_kernel.actions.deletion_vector.md	1	1	Represents an abstract path to a deletion vector file.
buoyant_kernel::actions::deletion_vector::DeletionVectorStorageType	enum	buoyant_kernel	api/buoyant_kernel.actions.deletion_vector.md	1	6	
