datafusion_tracing::instrumented_exec::InstrumentedExec	execution_recording_stream	-	internal	fn execution_recording_stream(&self, inner_stream: SendableRecordBatchStream, recorders: Arc<ExecutionRecorders>) -> SendableRecordBatchStream	Wraps the given stream so recorder state for this partition is released after the stream is dropped.
datafusion_tracing::instrumented_exec::InstrumentedExec	fetch	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn fetch(&self) -> Option<usize>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	fmt_as	datafusion_physical_plan::display::DisplayAs	internal	fn fmt_as(&self, format: DisplayFormatType, f: &mut fmt::Formatter<'_>) -> fmt::Result	-
datafusion_tracing::instrumented_exec::InstrumentedExec	gather_filters_for_pushdown	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn gather_filters_for_pushdown(&self, phase: FilterPushdownPhase, parent_filters: Vec<Arc<dyn PhysicalExpr>>, config: &ConfigOptions) -> Result<FilterDescription>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	handle_child_pushdown_result	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn handle_child_pushdown_result(&self, phase: FilterPushdownPhase, child_pushdown_result: ChildPushdownResult, config: &ConfigOptions) -> Result<FilterPushdownPropagation<Arc<dyn ExecutionPlan>>>	Delegate to the inner plan for handling child pushdown result and rewrap with an InstrumentedExec.
datafusion_tracing::instrumented_exec::InstrumentedExec	input_distribution_requirements	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn input_distribution_requirements(&self) -> InputDistributionRequirements	-
datafusion_tracing::instrumented_exec::InstrumentedExec	is_instrumented	-	internal	fn is_instrumented(plan: &dyn ExecutionPlan) -> bool	Returns true if the plan is an `InstrumentedExec` wrapper.
datafusion_tracing::instrumented_exec::InstrumentedExec	maintains_input_order	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn maintains_input_order(&self) -> Vec<bool>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	metrics	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn metrics(&self) -> Option<MetricsSet>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	metrics_recording_stream	-	internal	fn metrics_recording_stream(&self, inner_stream: SendableRecordBatchStream, recorder: Arc<MetricsRecorder>) -> SendableRecordBatchStream	Wraps the given stream with metrics recording. Metrics are aggregated across all partitions before being reported.
datafusion_tracing::instrumented_exec::InstrumentedExec	name	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn name(&self) -> &str	-
datafusion_tracing::instrumented_exec::InstrumentedExec	new	-	internal	fn new(inner: Arc<dyn ExecutionPlan>, span_create_fn: Arc<dyn Fn() -> tracing::Span + Send + Sync>, options: &InstrumentationOptions) -> InstrumentedExec	Creates a new `InstrumentedExec` that wraps an execution plan with tracing and metrics.
datafusion_tracing::instrumented_exec::InstrumentedExec	node_recording_stream	-	internal	fn node_recording_stream(&self, inner_stream: SendableRecordBatchStream, recorder: Arc<NodeRecorder>) -> SendableRecordBatchStream	Wraps the given stream with a completion recorder so fields that are only fully qualified after execution (such as `datafusion.node`) are recorded once all partitions have finished executing.
datafusion_tracing::instrumented_exec::InstrumentedExec	partition_statistics	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn partition_statistics(&self, partition: Option<usize>) -> Result<Arc<Statistics>>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	preview_recording_stream	-	internal	fn preview_recording_stream(&self, inner_stream: SendableRecordBatchStream, recorder: Arc<PreviewRecorder>, partition: usize) -> SendableRecordBatchStream	Wraps the given stream with batch preview recording. The preview limit is applied globally across all partitions before the preview is reported.
datafusion_tracing::instrumented_exec::InstrumentedExec	properties	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn properties(&self) -> &Arc<PlanProperties>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	repartitioned	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn repartitioned(&self, target_partitions: usize, config: &ConfigOptions) -> Result<Option<Arc<dyn ExecutionPlan>>>	Delegate to the inner plan for repartitioning and rewrap with an InstrumentedExec.
datafusion_tracing::instrumented_exec::InstrumentedExec	replace_children	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn replace_children(Arc<self>, children: Vec<Arc<dyn ExecutionPlan>>, options: ReplaceChildrenOptions) -> Result<Arc<dyn ExecutionPlan>>	Delegate child replacement to the inner plan and preserve instrumentation.
datafusion_tracing::instrumented_exec::InstrumentedExec	required_input_distribution	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn required_input_distribution(&self) -> Vec<Distribution>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	required_input_ordering	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn required_input_ordering(&self) -> Vec<Option<OrderingRequirements>>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	reserve_recorders	-	internal	fn reserve_recorders(&self, context: Arc<TaskContext>, partition: usize) -> Arc<ExecutionRecorders>	Returns and reserves the recorder group for this execution stream.
datafusion_tracing::instrumented_exec::InstrumentedExec	reset_state	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn reset_state(Arc<self>) -> Result<Arc<dyn ExecutionPlan>>	Delegate to the inner plan for resetting state and rewrap with an InstrumentedExec.
datafusion_tracing::instrumented_exec::InstrumentedExec	schema	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn schema(&self) -> SchemaRef	-
datafusion_tracing::instrumented_exec::InstrumentedExec	static_name	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn static_name() -> &'static str	-
datafusion_tracing::instrumented_exec::InstrumentedExec	statistics_from_inputs	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn statistics_from_inputs(&self, input_stats: &[Arc<Statistics>], args: &StatisticsArgs) -> Result<Arc<Statistics>>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	supports_limit_pushdown	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn supports_limit_pushdown(&self) -> bool	-
datafusion_tracing::instrumented_exec::InstrumentedExec	try_pushdown_sort	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn try_pushdown_sort(&self, order: &[PhysicalSortExpr]) -> Result<SortOrderPushdownResult<Arc<dyn ExecutionPlan>>>	Delegate to the inner plan for sort pushdown and rewrap with an InstrumentedExec.
datafusion_tracing::instrumented_exec::InstrumentedExec	try_swapping_with_projection	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn try_swapping_with_projection(&self, projection: &ProjectionExec) -> Result<Option<Arc<dyn ExecutionPlan>>>	Delegate to the inner plan for swapping with a projection and rewrap with an InstrumentedExec.
datafusion_tracing::instrumented_exec::InstrumentedExec	with_fetch	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn with_fetch(&self, limit: Option<usize>) -> Option<Arc<dyn ExecutionPlan>>	Delegate to the inner plan for fetching and rewrap with an InstrumentedExec.
datafusion_tracing::instrumented_exec::InstrumentedExec	with_new_children	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn with_new_children(Arc<self>, children: Vec<Arc<dyn ExecutionPlan>>) -> Result<Arc<dyn ExecutionPlan>>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	with_new_children_and_same_properties	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn with_new_children_and_same_properties(Arc<self>, children: Vec<Arc<dyn ExecutionPlan>>) -> Result<Arc<dyn ExecutionPlan>>	-
datafusion_tracing::instrumented_exec::InstrumentedExec	with_new_inner	-	internal	fn with_new_inner(&self, inner: Arc<dyn ExecutionPlan>) -> Arc<dyn ExecutionPlan>	Creates a new `InstrumentedExec` with the same configuration as this instance but with a different inner execution plan.
datafusion_tracing::instrumented_exec::InstrumentedExec	with_new_state	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn with_new_state(&self, state: Arc<dyn Any + Send + Sync>) -> Option<Arc<dyn ExecutionPlan>>	Delegate to the inner plan for injecting run-time state and rewrap with an InstrumentedExec.
datafusion_tracing::instrumented_exec::InstrumentedExec	with_preserve_order	datafusion_physical_plan::execution_plan::ExecutionPlan	internal	fn with_preserve_order(&self, preserve_order: bool) -> Option<Arc<dyn ExecutionPlan>>	Delegate order-preservation requirements to the inner plan and rewrap with an InstrumentedExec.
datafusion_tracing::metrics::MetricsRecorder	drop	core::ops::drop::Drop	internal	fn drop(&mut self)	Aggregates and logs the collected metrics when the recorder goes out of scope, which should only happen once all executed partition streams have completed.
datafusion_tracing::metrics::MetricsRecorder	new	-	internal	fn new(execution_plan: Arc<dyn ExecutionPlan>, span: Span) -> Self	-
datafusion_tracing::metrics::MetricsRecordingStream	new	-	internal	fn new(inner: SendableRecordBatchStream, metrics_recorder: Arc<MetricsRecorder>) -> Self	Wraps a DataFusion stream with metrics recording capability.
datafusion_tracing::metrics::MetricsRecordingStream	poll_next	futures_core::stream::Stream	internal	fn poll_next(Pin<&mut self>, cx: &mut Context<'_>) -> Poll<Option<Self::Item>>	Retrieves the next record batch from the underlying stream.
datafusion_tracing::metrics::MetricsRecordingStream	project	-	internal	fn project<'pin>(_pin_project::__private::Pin<&'pin mut self>) -> __MetricsRecordingStreamProjection<'pin>	-
datafusion_tracing::metrics::MetricsRecordingStream	project_ref	-	internal	fn project_ref<'pin>(_pin_project::__private::Pin<&'pin self>) -> __MetricsRecordingStreamProjectionRef<'pin>	-
datafusion_tracing::metrics::MetricsRecordingStream	schema	datafusion_execution::stream::RecordBatchStream	internal	fn schema(&self) -> SchemaRef	Returns the schema for the record batches produced by the wrapped stream.
datafusion_tracing::node::NodeRecorder	drop	core::ops::drop::Drop	internal	fn drop(&mut self)	-
datafusion_tracing::node::NodeRecorder	new	-	internal	fn new(execution_plan: Arc<dyn ExecutionPlan>, span: Span) -> Self	-
datafusion_tracing::node::NodeRecorder	span	-	internal	fn span(&self) -> Span	-
datafusion_tracing::node::NodeRecordingStream	new	-	internal	fn new(inner: SendableRecordBatchStream, recorder: Arc<NodeRecorder>) -> Self	-
datafusion_tracing::node::NodeRecordingStream	poll_next	futures_core::stream::Stream	internal	fn poll_next(Pin<&mut self>, cx: &mut Context<'_>) -> Poll<Option<Self::Item>>	-
