opentelemetry	default	futures,internal-logs,logs,metrics,trace	-
opentelemetry	futures	futures-core,futures-sink,pin-project-lite	default
opentelemetry	internal-logs	tracing	default
opentelemetry	logs	-	default
opentelemetry	metrics	-	default
opentelemetry	spec_unstable_logs_enabled	logs	-
opentelemetry	testing	trace	-
opentelemetry	trace	futures,thiserror	default
opentelemetry-otlp	default	http-proto,internal-logs,logs,metrics,reqwest-blocking-client,trace	-
opentelemetry-otlp	grpc-tonic	http,opentelemetry-proto/gen-tonic,prost,tokio,tonic	-
opentelemetry-otlp	gzip-http	flate2	-
opentelemetry-otlp	gzip-tonic	tonic/gzip	-
opentelemetry-otlp	http-json	http,metrics,opentelemetry-http,opentelemetry-proto/gen-tonic-messages,opentelemetry-proto/with-serde,prost,serde_json,trace	-
opentelemetry-otlp	http-proto	http,metrics,opentelemetry-http,opentelemetry-proto/gen-tonic-messages,prost,trace	default
opentelemetry-otlp	hyper-client	opentelemetry-http/hyper	-
opentelemetry-otlp	integration-testing	logs,prost,tokio/full,tonic,trace	-
opentelemetry-otlp	internal-logs	opentelemetry-http/internal-logs,opentelemetry_sdk/internal-logs,tracing	default
opentelemetry-otlp	logs	opentelemetry-proto/logs,opentelemetry/logs,opentelemetry_sdk/logs	default
opentelemetry-otlp	metrics	opentelemetry-proto/metrics,opentelemetry/metrics,opentelemetry_sdk/metrics	default
opentelemetry-otlp	reqwest-blocking-client	opentelemetry-http/reqwest-blocking,reqwest/blocking	default
opentelemetry-otlp	reqwest-client	opentelemetry-http/reqwest,reqwest	-
opentelemetry-otlp	reqwest-rustls	opentelemetry-http/reqwest-rustls,reqwest	-
opentelemetry-otlp	reqwest-rustls-webpki-roots	opentelemetry-http/reqwest-rustls-webpki-roots,reqwest	-
opentelemetry-otlp	serialize	serde,serde_json	-
opentelemetry-otlp	tls	tonic/tls-ring	-
opentelemetry-otlp	tls-roots	tls,tonic/tls-native-roots	-
opentelemetry-otlp	tls-webpki-roots	tls,tonic/tls-webpki-roots	-
opentelemetry-otlp	trace	opentelemetry-proto/trace,opentelemetry/trace,opentelemetry_sdk/trace	default
opentelemetry-otlp	zstd-http	zstd	-
opentelemetry-otlp	zstd-tonic	tonic/zstd	-
opentelemetry_sdk	default	internal-logs,logs,metrics,trace	-
opentelemetry_sdk	experimental_async_runtime	-	-
opentelemetry_sdk	experimental_logs_batch_log_processor_with_async_runtime	experimental_async_runtime,logs	-
opentelemetry_sdk	experimental_logs_concurrent_log_processor	logs	-
opentelemetry_sdk	experimental_metrics_custom_reader	metrics	-
opentelemetry_sdk	experimental_metrics_disable_name_validation	metrics	-
opentelemetry_sdk	experimental_metrics_periodicreader_with_async_runtime	experimental_async_runtime,metrics	-
opentelemetry_sdk	experimental_trace_batch_span_processor_with_async_runtime	experimental_async_runtime,tokio/sync,trace	-
opentelemetry_sdk	internal-logs	opentelemetry/internal-logs	default
opentelemetry_sdk	jaeger_remote_sampler	experimental_async_runtime,http,opentelemetry-http,serde,serde_json,trace,url	-
opentelemetry_sdk	logs	opentelemetry/logs	default
opentelemetry_sdk	metrics	opentelemetry/metrics	default
opentelemetry_sdk	rt-tokio	experimental_async_runtime,tokio-stream,tokio/rt,tokio/time	-
opentelemetry_sdk	rt-tokio-current-thread	experimental_async_runtime,tokio-stream,tokio/rt,tokio/time	-
opentelemetry_sdk	spec_unstable_logs_enabled	logs,opentelemetry/spec_unstable_logs_enabled	-
opentelemetry_sdk	spec_unstable_metrics_views	metrics	-
opentelemetry_sdk	testing	logs,metrics,opentelemetry/testing,rt-tokio,rt-tokio-current-thread,tokio/macros,tokio/rt-multi-thread,trace	-
opentelemetry_sdk	trace	opentelemetry/trace,percent-encoding,rand	default
tracing	async-await	-	-
tracing	attributes	tracing-attributes	default
tracing	default	attributes,std	-
tracing	log-always	log	-
tracing	max_level_debug	-	-
tracing	max_level_error	-	-
tracing	max_level_info	-	-
tracing	max_level_off	-	-
tracing	max_level_trace	-	-
tracing	max_level_warn	-	-
tracing	release_max_level_debug	-	-
tracing	release_max_level_error	-	-
tracing	release_max_level_info	-	-
tracing	release_max_level_off	-	-
tracing	release_max_level_trace	-	-
tracing	release_max_level_warn	-	-
tracing	std	tracing-core/std	default
tracing	valuable	tracing-core/valuable	-
tracing-attributes	async-await	-	-
tracing-core	default	std,valuable?/std	-
tracing-core	std	once_cell	default
tracing-futures	default	std,std-future	-
tracing-futures	futures-01	futures_01,std	-
tracing-futures	futures-03	futures,futures-task,std,std-future	-
tracing-futures	std	tracing/std	default
tracing-futures	std-future	pin-project	default
tracing-opentelemetry	default	metrics,tracing-log	-
tracing-opentelemetry	metrics	opentelemetry/metrics,opentelemetry_sdk/metrics,smallvec	default
tracing-subscriber	alloc	-	-
tracing-subscriber	ansi	fmt,nu-ansi-term	default
tracing-subscriber	default	ansi,fmt,smallvec,std,tracing-log	-
tracing-subscriber	env-filter	dep:regex-automata,matchers,once_cell,std,thread_local,tracing	-
tracing-subscriber	fmt	registry,std	default
tracing-subscriber	json	serde,serde_json,tracing-serde	-
tracing-subscriber	local-time	time/local-offset	-
tracing-subscriber	nu-ansi-term	dep:nu-ansi-term	-
tracing-subscriber	regex	-	-
tracing-subscriber	registry	sharded-slab,std,thread_local	-
tracing-subscriber	std	alloc,tracing-core/std	default
tracing-subscriber	valuable	tracing-core/valuable,tracing-serde/valuable,valuable-serde,valuable_crate	-
