01_basic	select_one	-	trace
02_basic_metrics	select_one	with_metrics_collection	trace
03_basic_preview	select_one	with_row_limit	trace
04_basic_compact_preview	select_one	with_compact_preview,with_row_limit	trace
05_basic_all_options	select_one	with_compact_preview,with_metrics_collection,with_row_limit	trace
06_object_store_all_options	order_nations	with_compact_preview,with_metrics_collection,with_object_store_collection,with_row_limit	trace
07_scrabble_all_options	tpch_scrabble	ignore_full_trace,ignore_preview_spans,with_compact_preview,with_metrics_collection,with_row_limit	no-trace
08_recursive	recursive	collapse_recursive_exec_duplicates	trace
09_recursive_all_options	recursive	collapse_recursive_exec_duplicates,with_compact_preview,with_metrics_collection,with_row_limit	trace
10_topk_lineitem	topk_lineitem	-	trace
