datafusion_tracing::planner::TracingQueryPlanner	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.planner.md	0	4	A `QueryPlanner` that instruments the creation of the physical plan.
datafusion_tracing::planner::span_at_level	macro	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.planner.md	0	0	Creates a span at the specified tracing level with the given name and fields.
datafusion_tracing::preview::PreviewFn	type_alias	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.preview.md	0	0	-
datafusion_tracing::preview::PreviewRecorder	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.preview.md	0	2	Stores up to the first `limit` rows for preview.
datafusion_tracing::preview::PreviewRecorderBuilder	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.preview.md	0	3	Builder for [`PreviewRecorder`].
datafusion_tracing::preview::PreviewRecordingStream	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.preview.md	0	6	-
datafusion_tracing::preview::default_preview_fn	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.preview.md	0	0	-
datafusion_tracing::preview_utils::DEFAULT_PRESET	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.preview_utils.md	0	0	-
datafusion_tracing::preview_utils::TRUNCATED_PRESET	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.preview_utils.md	0	0	-
datafusion_tracing::preview_utils::pretty_format_compact_batch	function	datafusion-tracing	datafusion-tracing	supported	-	api/datafusion_tracing.preview_utils.md	1	0	Formats a `RecordBatch` as a neatly aligned ASCII table, constraining the total width to `max_width`. Columns are dynamically resized or truncated, and columns that cannot fit within the given width may be dropped.
datafusion_tracing::rule_instrumentation::AnalyzerPhaseSentinel	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	3	Sentinel analyzer rule that toggles the phase span. First call opens the span, second call closes it.
datafusion_tracing::rule_instrumentation::ErrorCleanupAnalyzerRule	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	3	-
datafusion_tracing::rule_instrumentation::ErrorCleanupOptimizerRule	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	5	-
datafusion_tracing::rule_instrumentation::ErrorCleanupPhysicalOptimizerRule	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	4	-
datafusion_tracing::rule_instrumentation::FormatPlan	trait	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	1	Trait for formatting plans as strings for diffing and tracing.
datafusion_tracing::rule_instrumentation::InstrumentedAnalyzerRule	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	4	A wrapper for an `AnalyzerRule` that adds tracing instrumentation.
datafusion_tracing::rule_instrumentation::InstrumentedOptimizerRule	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	7	A wrapper for an `OptimizerRule` that adds tracing instrumentation.
datafusion_tracing::rule_instrumentation::InstrumentedPhysicalOptimizerRule	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	5	A wrapper for a `PhysicalOptimizerRule` that adds tracing instrumentation.
datafusion_tracing::rule_instrumentation::OPTIMIZER_PASS_TRACKER	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Tracks optimizer pass count and the parent span ID to detect new queries.
datafusion_tracing::rule_instrumentation::OptimizerPassTracker	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	3	Tracks the optimizer pass count, resetting when a new query starts. A new query is detected by a change in the parent span ID or when the physical optimizer phase completes.
datafusion_tracing::rule_instrumentation::OptimizerPhaseSentinel	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	5	Sentinel optimizer rule that toggles the phase span. First call opens the span, second call closes it.
datafusion_tracing::rule_instrumentation::PLANNING_CONTEXT	constant	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	The current planning context, if any phase is active.
datafusion_tracing::rule_instrumentation::PhaseSpanCreateFn	type_alias	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Type alias for a function that creates a phase span given the phase name. Example phase names: "analyze_logical_plan", "optimize_logical_plan", "optimize_physical_plan".
datafusion_tracing::rule_instrumentation::PhysicalOptimizerPhaseSentinel	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	4	Sentinel physical optimizer rule that toggles the phase span. First call opens the span, second call closes it.
datafusion_tracing::rule_instrumentation::PlanningContext	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Context for tracking the active planning phase span.
